Client_Name,Client_ID,Settlement_Currency,Bank_Name,Account_Number,Swift_Code,Source_System,Creation_Date
Dania Gribbins,CLT006,BRL,Golden Gate Bank,102001017,CHASUS33,SystemD,8/29/2021
Moreen Wales,CLT007,CNY,Rainbow Bank,102001017,CHASUS33,SystemE,10-02-2020
Kyle Priel,CLT008,ARS,Starlight Bank,71004200,USBKUS44IMT,SystemC,10/19/2020
Virgilio Rigler,CLT009,IDR,Ocean Breeze Bank,124103799,WFBIUS6S,SystemH,04-05-2020
Petronella Cridlon,CLT010,PHP,Silver Lake Bank,42104249,PNCCUS33,SystemB,05-05-2021
Derrik Willoughway,CLT001,CAD,Rainbow Bank,113110816,CITIUS33,SystemJ,4/28/2020
Jaime Sinclar,CLT002,IDR,Golden Gate Bank,84204709,CITIUS33,SystemD,6/24/2020
Roddie Toplin,CLT003,EUR,Mountain View Bank,211070175,CITIUS33,SystemG,11/18/2021
Alfonso Arundel,CLT004,CNY,Golden Gate Bank,56004089,WFBIUS6S,SystemE,10/28/2020
Reginald Lockyear,CLT005,IDR,Golden Gate Bank,63100714,BOFAUS3N,SystemD,06-06-2020
Imogen Rogerot,CLT006,PHP,Golden Gate Bank,101109156,CITIUS33,SystemD,10-04-2020
Dewain Wrey,CLT007,PKR,Ocean Breeze Bank,263190812,FTBCUS3C,SystemE,3/22/2021
Caro Jarrard,CLT008,CNY,Mountain View Bank,72408504,FTBCUS3C,SystemE,11-03-2021
Bary Ligoe,CLT009,USD,Emerald Bank,43303832,PNCCUS33,SystemA,6/22/2021
Allsun Mackelworth,CLT010,CNY,Mountain View Bank,72402348,FTBCUS3C,SystemH,7/22/2021
Elinor McGonigal,CLT001,BYR,Sunset Bank,43300738,PNCCUS33,SystemH,12/27/2021
Phebe Orrell,CLT002,ETB,Golden Gate Bank,72400052,FTBCUS3C,SystemD,10-07-2020
Jayme Dennett,CLT003,HNL,Ocean Breeze Bank,65300211,CITIUS33,SystemG,3/15/2020
Min Benedtti,CLT004,PEN,Rainbow Bank,51402233,CITIUS33,SystemB,7/26/2020
Filbert Vasentsov,CLT005,BGN,Starlight Bank,65400140,NFBKUS33,SystemB,11/29/2020
Tybi Schettini,CLT006,IDR,Golden Gate Bank,51400507,BOFAUS3N,SystemG,8/15/2021
Barnett Mainwaring,CLT007,CZK,Sunset Bank,122000661,BOFAUS3N,SystemJ,7/21/2021
Jenelle Pillington,CLT008,TZS,Pineapple Bank,231170181,SVRNUS33,SystemF,07-11-2020
Trstram Imlach,CLT009,RUB,Sunset Bank,72405455,FTBCUS3C,SystemH,04-01-2021
Dunc Whittock,CLT010,CZK,Starlight Bank,271972064,CITIUS33,SystemG,5/18/2021
Loutitia Brill,CLT001,KRW,Mountain View Bank,86300041,FTBCUS3C,SystemJ,6/13/2020
Godfree Matton,CLT002,RUB,Pineapple Bank,122187076,WFBIUS6S,SystemJ,08-06-2021
Ruthi Levay,CLT003,IDR,Silver Lake Bank,122187076,WFBIUS6S,SystemG,3/24/2021
Nicko Dohms,CLT004,AMD,Emerald Bank,121000536,BOFAUS3N,SystemJ,3/23/2020
Baryram Barus,CLT005,IDR,Golden Gate Bank,113024520,WFBIUS6S,SystemI,5/26/2020
Jillayne Simmgen,CLT006,EUR,Silver Lake Bank,222371876,MRMDUS33,SystemC,06-09-2021
Kinna Jaggi,CLT007,CNY,Mountain View Bank,65400137,CHASUS33,SystemG,2/14/2020
Corrie Delwater,CLT008,ALL,Sunset Bank,242071758,FTBCUS3C,SystemE,5/31/2020
Timothee Huetson,CLT009,ARS,Sunset Bank,31100908,CITIUS33,SystemH,5/26/2020
Sibelle Yockley,CLT010,PHP,Golden Gate Bank,124303065,BOFAUS3N,SystemA,8/14/2020
Almira Levington,CLT001,CLP,Emerald Bank,21410695,NFBKUS33,SystemJ,2/24/2021
Jesse Creer,CLT002,PHP,Pineapple Bank,231271404,SVRNUS33,SystemJ,08-01-2020
Benjamin Sawfoot,CLT003,CNY,Silver Lake Bank,81504172,CITIUS33,SystemG,9/25/2021
Rollo Hiers,CLT004,EUR,Sunset Bank,72000805,BOFAUS3N,SystemH,02-07-2021
Joyan Bootland,CLT005,SEK,Silver Lake Bank,31300562,PNCCUS33,SystemH,02-03-2021
Evelin Wonfar,CLT006,SEK,Rainbow Bank,51403915,PNCCUS33,SystemI,9/29/2021
Stewart Conyers,CLT007,CNY,Silver Lake Bank,83002342,FTBCUS3C,SystemJ,11-02-2021
Trenna Rushmere,CLT008,CNY,Silver Lake Bank,71923909,FTBCUS3C,SystemC,4/22/2020
Konstance Hefner,CLT009,IDR,Golden Gate Bank,41203824,WFBIUS6S,SystemC,5/20/2020
Fremont Copnell,CLT010,EUR,Pineapple Bank,122233645,CITIUS33,SystemI,08-11-2021
Dominic Breinl,CLT001,SEK,Rainbow Bank,63113057,FTBCUS3C,SystemI,5/26/2020
Tedi Abramow,CLT002,CZK,Emerald Bank,111320006,CITIUS33,SystemA,01-09-2020
Emilie Riddel,CLT003,PHP,Pineapple Bank,11300605,BOFAUS3N,SystemG,4/30/2020
Rene Bugby,CLT004,EUR,Silver Lake Bank,253170305,WFBIUS6S,SystemC,9/19/2020
Betsy Sorton,CLT005,IDR,Sunset Bank,51404985,WFBIUS6S,SystemI,10/15/2021
Harlen Tatnell,CLT006,COP,Ocean Breeze Bank,281073458,PNCCUS33,SystemB,5/15/2021
Madelene Bairnsfather,CLT007,EUR,Emerald Bank,21309379,CHASUS33,SystemE,10/23/2021
Emogene Pesik,CLT008,THB,Mountain View Bank,55002341,BOFAUS3N,SystemH,2/24/2021
Carolee Meineking,CLT009,RUB,Pineapple Bank,111025013,WFBIUS6S,SystemD,11-12-2021
Kory Polfer,CLT010,CZK,Emerald Bank,91215927,USBKUS44IMT,SystemF,03-03-2021
Bernarr Sturte,CLT001,ARS,Maple Leaf Bank,322270262,CITIUS33,SystemE,5/20/2021
Georgie Apfelmann,CLT002,RSD,Maple Leaf Bank,67007130,BOFAUS3N,SystemE,09-03-2021
Yvonne Garvie,CLT003,CZK,Starlight Bank,67004764,CITIUS33,SystemF,9/16/2021
Calv Heintsch,CLT004,JPY,Ocean Breeze Bank,111907775,CITIUS33,SystemI,5/22/2020
Chas Roz,CLT005,HRK,Silver Lake Bank,322271779,CITIUS33,SystemJ,9/17/2020
Demetris Colbeck,CLT006,RUB,Rainbow Bank,72408504,FTBCUS3C,SystemA,6/19/2021
Karole Nutkins,CLT007,RUB,Golden Gate Bank,67011993,CITIUS33,SystemI,1/28/2020
Tatiania Veschambre,CLT008,RUB,Silver Lake Bank,65401369,NFBKUS33,SystemG,3/23/2021
Arvie Burchall,CLT009,GMD,Maple Leaf Bank,111321856,CITIUS33,SystemH,2/19/2021
Stephenie Randerson,CLT010,CNY,Starlight Bank,72000326,CHASUS33,SystemD,4/24/2020
Kathleen Mizzen,CLT001,PHP,Emerald Bank,51403915,PNCCUS33,SystemH,9/26/2021
Marta Boles,CLT002,EUR,Sunset Bank,61000256,WFBIUS6S,SystemJ,6/19/2020
Arte Bourne,CLT003,ZAR,Pineapple Bank,91409704,CITIUS33,SystemI,9/29/2021
Alica MacKenzie,CLT004,USD,Mountain View Bank,263190812,FTBCUS3C,SystemA,03-07-2020
Zachery Robus,CLT005,IDR,Mountain View Bank,31000011,WFBIUS6S,SystemA,10-05-2020
Jeane Tuke,CLT006,CNY,Starlight Bank,63109430,WFBIUS6S,SystemF,06-09-2021
Adan McIndoe,CLT007,PLN,Silver Lake Bank,92101085,CITIUS33,SystemH,06-02-2020
Sanderson Hamal,CLT008,MDL,Rainbow Bank,92900985,CITIUS33,SystemB,7/22/2021
Casey Millwater,CLT009,RSD,Rainbow Bank,11501035,BOFAUS3N,SystemE,06-04-2020
Jaquith Pechard,CLT010,SEK,Emerald Bank,75900465,USBKUS44IMT,SystemG,09-06-2020
Andria Rickword,CLT001,ETB,Emerald Bank,222371876,MRMDUS33,SystemG,3/30/2020
Joana Tolomei,CLT002,CNY,Mountain View Bank,111901690,CITIUS33,SystemG,10-06-2020
Gertrude Dugdale,CLT003,MYR,Rainbow Bank,111993776,CHASUS33,SystemI,04-05-2021
Mathe Nehls,CLT004,ZAR,Golden Gate Bank,41215278,PNCCUS33,SystemE,1/29/2021
Huey Ellery,CLT005,CNY,Starlight Bank,55001876,PNCCUS33,SystemC,5/27/2021
Katuscha Beech,CLT006,PEN,Pineapple Bank,41000124,PNCCUS33,SystemB,08-04-2021
Dora Haitlie,CLT007,RUB,Golden Gate Bank,113110641,CITIUS33,SystemE,08-08-2020
Basia Yarwood,CLT008,CNY,Emerald Bank,62203298,PNCCUS33,SystemD,6/24/2020
Galina Steggles,CLT009,THB,Starlight Bank,121141822,BOFAUS3N,SystemC,3/18/2020
Hale Lunk,CLT010,VEF,Sunset Bank,72412927,CHASUS33,SystemI,12-01-2020
Celisse O'Siaghail,CLT001,UAH,Maple Leaf Bank,122234149,CITIUS33,SystemF,07-07-2021
Elayne Canadas,CLT002,IDR,Pineapple Bank,122217056,CITIUS33,SystemB,3/17/2020
Myca Barth,CLT003,CZK,Starlight Bank,113119105,CITIUS33,SystemH,7/23/2020
Helga Drayton,CLT004,HNL,Golden Gate Bank,92905278,WFBIUS6S,SystemF,3/29/2020
Masha Coy,CLT005,PHP,Silver Lake Bank,72405455,FTBCUS3C,SystemE,12/24/2020
Catherina Pownall,CLT006,CNY,Pineapple Bank,83900732,USBKUS44IMT,SystemH,3/30/2020
Monro Teenan,CLT007,CNY,Golden Gate Bank,53101561,WFBIUS6S,SystemJ,08-05-2021
Saul GiacobbiniJacob,CLT008,ILS,Rainbow Bank,61113279,WFBIUS6S,SystemF,09-11-2020
Ruthi Harfoot,CLT009,CNY,Mountain View Bank,261170546,PNCCUS33,SystemI,4/27/2021
Ozzie Woffinden,CLT010,RUB,Starlight Bank,311972652,CITIUS33,SystemB,10/26/2021
Charmane Freke,CLT001,IDR,Pineapple Bank,101000035,BOFAUS3N,SystemC,05-01-2021
Carine Spollen,CLT002,PHP,Ocean Breeze Bank,64102601,CITIUS33,SystemJ,10/20/2021
Bobby Fields,CLT003,BSD,Golden Gate Bank,322270055,CITIUS33,SystemB,09-09-2021
Jacquenette McGrale,CLT004,IDR,Mountain View Bank,113117767,WFBIUS6S,SystemG,09-04-2020
Elfrieda Amy,CLT005,IDR,Pineapple Bank,71107699,CITIUS33,SystemI,07-08-2020
Nowell Cuningham,CLT006,CNY,Ocean Breeze Bank,71101174,PNCCUS33,SystemE,12/13/2020
Valentine Shortt,CLT007,PLN,Mountain View Bank,122100024,CHASUS33,SystemJ,11-05-2021
Timmi Lewknor,CLT008,BRL,Golden Gate Bank,26004394,NFBKUS33,SystemG,12/31/2020
Jacinthe Yeardsley,CLT009,NPR,Mountain View Bank,91000022,USBKUS44IMT,SystemB,2/15/2020
Adah Goudy,CLT010,CNY,Silver Lake Bank,21206074,SVRNUS33,SystemC,2/24/2020
Carter Methringham,CLT001,NOK,Starlight Bank,64108757,FTBCUS3C,SystemI,7/31/2020
Fredric Kempe,CLT002,DOP,Silver Lake Bank,44106397,CITIUS33,SystemD,1/14/2021
Deeyn Denial,CLT003,CNY,Maple Leaf Bank,21200012,PNCCUS33,SystemG,12-03-2021
Marci Attock,CLT004,PHP,Silver Lake Bank,267091263,CHASUS33,SystemE,6/24/2021
Robin Adami,CLT005,RSD,Rainbow Bank,21313103,CITIUS33,SystemB,5/19/2021
L;urette Parysiak,CLT006,PHP,Maple Leaf Bank,26073079,WFBIUS6S,SystemF,07-07-2021
Rasia Dwane,CLT007,ARS,Mountain View Bank,122000030,BOFAUS3N,SystemC,05-03-2021
